mlcmmc7x|5|3|tall|10|0|7|4,1,0,7|9,PASS|
mlcmmc7x|6|0|tall|9|1|10|9,1,0,2|9|R/R12
mlcmmc7x|7|1|tall|9|0|8|1,4,4,3|8,PASS|
mhme2r9i|0|0|tall|10|1|12|8,0,4,0|8,10|S/S13
mhme2r9i|1|0|tall|9|1|9|8,2,1,1|9|H/H13
mhme2r9i|2|0|tall|9|1|10|9,1,1,1|9|R/R14
mhme2r9i|3|0|tall|10|0|9|7,2,2,1|10|S/S12
mhme2r9i|4|3|tall|10|1|10|1,1,1,9|PASS|
mhme2r9i|5|0|tall|9|0|8|3,5,1,3|9|S/S14
mhme2r9i|6|2|tall|8|0|7|5,1,6,0|6,PASS|
mhme2r9i|7|3|tall|9|0|8|2,2,2,6|8,PASS|
mhme2r9i|8|3|tall|9|1|9|3,1,2,6|PASS|
mhme2r9i|9|2|tall|9|1|9|2,3,6,1|8,PASS|
mhme2r9i|10|3|tall|8|0|6|3,3,3,3|PASS|
mhme2r9i|11|1|tall|8|1|10|2,8,1,1|7,PASS|
mhme2r9i|12|0|tall|9|1|10|8,2,0,2|9|R/R13
ozgriwun|0|0|tall|10|0|8|7,2,2,1|10|H/H11
ozgriwun|1|3|tall|10|1|11|0,8,1,3|PASS|
ozgriwun|2|2|tall|9|1|9|1,3,6,2|PASS|
ozgriwun|3|1|tall|9|1|10|2,6,4,0|8,PASS|
ozgriwun|4|1|tall|9|0|8|3,5,3,1|8,PASS|
ozgriwun|5|3|tall|8|1|8|3,1,1,7|PASS|
ozgriwun|6|1|tall|10|0|9|2,7,2,1|9,PASS|
7wtli62u|0|0|tall|8|1|11|8,3,1,0|8|K/K13
7wtli62u|1|0|tall|9|1|11|7,1,0,4|9|H/H12
7wtli62u|2|0|tall|6|1|9|3,3,6,0|6|H/H14
7wtli62u|3|0|tall|7|1|11|6,1,5,0|7|R/R14
7wtli62u|4|0|tall|8|1|12|8,0,4,0|8|S/S13
7wtli62u|5|0|tall|8|0|7|5,4,1,2|8|R/R12
csiezryc|0|1|tall|9|1|10|4,6,1,1|PASS|
cgw85j9f|0|3|tall|8|0|7|1,0,4,7|PASS|
cgw85j9f|1|3|tall|9|1|9|2,1,6,3|8,PASS|
cgw85j9f|2|1|tall|9|0|8|2,7,2,1|8,PASS|
cgw85j9f|3|1|tall|8|0|7|2,2,3,5|7,PASS|
cgw85j9f|4|0|tall|8|1|9|8,0,1,3|8|H/H13
cgw85j9f|5|0|tall|9|1|12|7,0,0,5|9|K/K13
cgw85j9f|6|0|tall|8|1|10|9,1,1,1|8|R/R13
cgw85j9f|7|1|tall|8|1|11|4,7,0,1|7,PASS|
cgw85j9f|8|0|tall|9|1|9|7,2,2,1|9|S/S11
cgw85j9f|9|1|tall|8|0|6|4,4,2,2|PASS|
cgw85j9f|10|0|tall|10|0|8|6,1,2,3|10|H/H13
cgw85j9f|11|2|tall|8|0|6|2,4,5,1|7,PASS|
cgw85j9f|12|2|tall|9|0|7|4,1,5,2|8,PASS|
cgw85j9f|13|0|tall|9|1|11|8,3,0,1|9|S/S14
cgw85j9f|14|3|tall|9|0|8|3,0,1,8|8,PASS|
cgw85j9f|15|1|tall|8|1|10|1,9,1,1|7,PASS|
cgw85j9f|16|0|tall|9|0|8|7,2,2,1|9|R/R14
cgw85j9f|17|0|tall|9|1|12|8,4,0,0|9|K/K12
cgw85j9f|18|3|tall|9|0|8|0,4,4,4|7,PASS|
cgw85j9f|19|2|tall|9|1|9|1,2,8,1|7,PASS|
cgw85j9f|20|3|tall|8|1|11|6,0,1,5|PASS|
mvynhzc6|0|0|tall|9|1|9|8,1,0,3|9|K/K13
mvynhzc6|1|0|tall|9|0|7|6,4,1,1|9|S/S14
mvynhzc6|2|0|tall|7|1|8|4,3,4,1|7|K/K12
mvynhzc6|3|1|tall|9|1|9|1,5,4,2|8,PASS|
mvynhzc6|4|0|tall|9|1|11|6,0,1,5|9|R/R12
mvynhzc6|5|2|tall|8|0|7|3,3,4,2|PASS|
mvynhzc6|6|2|tall|8|1|8|1,3,6,2|7,PASS|
mvynhzc6|7|3|tall|8|1|8|4,1,3,4|7,PASS|
mvynhzc6|8|3|tall|8|0|7|1,1,4,6|PASS|
mvynhzc6|9|1|tall|8|1|11|0,9,1,2|7,PASS|
v4mob4re|0|0|tall|9|1|9|8,1,2,1|9|S/S13
v4mob4re|1|0|tall|8|1|8|5,1,3,3|8|K/K13
v4mob4re|2|0|tall|8|1|9|6,3,0,3|8|K/K14
v4mob4re|3|0|tall|9|0|8|7,1,1,3|9|R/R14
v4mob4re|4|0|tall|8|1|9|7,2,1,2|8|K/K14
vofk1w6i|0|3|tall|9|0|6|3,2,3,4|8,PASS|
vofk1w6i|1|1|tall|9|1|10|2,7,0,3|PASS|
vofk1w6i|2|1|tall|8|0|4|8,3,1,0|7,PASS|
vofk1w6i|3|1|tall|8|1|10|2,5,5,0|7,PASS|
vofk1w6i|4|2|tall|10|1|11|2,0,9,1|PASS|
vofk1w6i|5|3|tall|9|1|9|4,2,1,5|8,PASS|
vofk1w6i|6|2|tall|9|1|9|1,2,8,1|7,PASS|
vofk1w6i|7|2|tall|9|1|9|2,3,6,1|8,PASS|
vofk1w6i|8|3|tall|9|1|9|3,0,3,6|PASS|
vofk1w6i|9|2|tall|9|1|9|3,0,7,2|8,PASS|
vofk1w6i|10|3|tall|9|1|10|0,2,2,8|8,PASS|
vofk1w6i|11|3|tall|9|1|12|0,0,2,10|8,PASS|
vofk1w6i|12|1|tall|9|1|9|2,8,1,1|PASS|
upwawysq|0|3|tall|9|0|7|2,3,1,6|PASS|
upwawysq|1|1|tall|8|1|8|4,3,0,5|7,PASS|
upwawysq|2|3|tall|9|1|10|1,4,1,6|7,PASS|
upwawysq|3|1|tall|9|0|7|3,4,2,3|8,PASS|
upwawysq|4|0|tall|9|1|9|6,2,3,1|9|H/H13
5shsluo2|0|0|tall|8|1|8|5,2,3,2|8|R/R13
5shsluo2|1|3|tall|9|0|8|3,2,2,5|8,PASS|
5shsluo2|2|1|tall|8|1|8|0,5,3,4|7,PASS|
5shsluo2|3|3|tall|8|0|7|2,4,3,3|7,PASS|
5shsluo2|4|0|tall|9|1|11|8,1,3,0|9|H/H9
5shsluo2|5|0|tall|8|1|9|7,1,2,2|8|S/S12
5shsluo2|6|2|tall|8|1|9|2,3,6,1|7,PASS|
5shsluo2|7|2|tall|8|1|9|2,0,7,3|7,PASS|
5shsluo2|8|0|tall|9|1|9|7,2,1,2|9|S/S14
5shsluo2|9|2|tall|8|1|10|2,0,7,3|PASS|
5shsluo2|10|3|tall|9|0|7|0,2,3,7|8,PASS|
5shsluo2|11|1|tall|9|1|11|3,8,1,0|8,PASS|
lu8cdbco|0|0|tall|8|1|9|8,1,2,1|8|H/H14
lu8cdbco|1|0|tall|8|1|9|5,2,1,4|8|R/R14
lu8cdbco|2|1|tall|8|1|10|1,7,3,1|7,PASS|
r6qrhlnc|0|1|tall|9|1|10|2,8,1,1|PASS|
r6qrhlnc|1|2|tall|9|0|8|3,4,4,1|PASS|
