epoke	motstander	n	snitt	se	z	pos	neg	kontroll
mlb-beste-e11	tilfeldig	600	8.7000	0.7366	11.81	353	177	0.0000 OK
mlb-beste-e11	nevro	600	-3.5705	0.4521	-7.90	187	335	0.0000 OK
mlb-beste-e11	adams	600	-3.2439	0.4395	-7.38	125	279	0.0000 OK
