epoke	motstander	n	snitt	se	z	pos	neg	kontroll
mlb-beste	tilfeldig	480	-59.2146	2.6710	-22.17	91	368	0.0000 OK
mlb-beste	nevro	480	-45.9813	1.9558	-23.51	23	445	0.0000 OK
mlb-beste	adams	480	-90.8778	1.5535	-58.50	7	458	0.0000 OK
mlb-beste-e5	tilfeldig	480	8.8847	1.3791	6.44	251	185	0.0000 OK
mlb-beste-e5	nevro	480	-3.7597	0.4956	-7.59	143	264	0.0000 OK
mlb-beste-e5	adams	480	-3.6284	0.4934	-7.35	92	233	0.0000 OK
mlb-beste-e9	tilfeldig	480	8.5903	1.3818	6.22	248	191	0.0000 OK
mlb-beste-e9	nevro	480	-3.8431	0.4809	-7.99	130	274	0.0000 OK
mlb-beste-e9	adams	480	-3.5930	0.5028	-7.15	97	229	0.0000 OK
