skard 8/20 startet 2026-08-09T16:56:55.423Z
25 kamper, 0.25 kamper/s, 2100.5 beslutninger/kamp, 36.3 runder/kamp
50 kamper, 0.36 kamper/s, 1541.4 beslutninger/kamp, 26.3 runder/kamp
75 kamper, 0.41 kamper/s, 1410.4 beslutninger/kamp, 23.9 runder/kamp
100 kamper, 0.39 kamper/s, 1471.3 beslutninger/kamp, 25.0 runder/kamp
125 kamper, 0.39 kamper/s, 1449.8 beslutninger/kamp, 24.6 runder/kamp
150 kamper, 0.41 kamper/s, 1411.8 beslutninger/kamp, 24.0 runder/kamp
175 kamper, 0.41 kamper/s, 1399.4 beslutninger/kamp, 23.7 runder/kamp
200 kamper, 0.39 kamper/s, 1464.0 beslutninger/kamp, 24.9 runder/kamp
225 kamper, 0.39 kamper/s, 1480.0 beslutninger/kamp, 25.2 runder/kamp
250 kamper, 0.39 kamper/s, 1516.2 beslutninger/kamp, 25.8 runder/kamp
FERDIG {"skard":8,"kamper":250,"sekunder":636.32,"kamperPerSek":0.393,"beslutningerPerKamp":1516.2,"raderPerKamp":390.7,"medValgPerKamp":312.4,"runderPerKamp":25.84,"avbruttAndel":0.164,"bytesPerKamp":4497}
