skard 11/20 startet 2026-08-09T16:46:27.451Z
25 kamper, 0.78 kamper/s, 991.5 beslutninger/kamp, 16.4 runder/kamp
50 kamper, 0.59 kamper/s, 1249.8 beslutninger/kamp, 20.9 runder/kamp
75 kamper, 0.64 kamper/s, 1155.7 beslutninger/kamp, 19.2 runder/kamp
100 kamper, 0.60 kamper/s, 1223.3 beslutninger/kamp, 20.4 runder/kamp
125 kamper, 0.58 kamper/s, 1238.4 beslutninger/kamp, 20.7 runder/kamp
150 kamper, 0.51 kamper/s, 1363.1 beslutninger/kamp, 22.9 runder/kamp
175 kamper, 0.49 kamper/s, 1430.2 beslutninger/kamp, 24.1 runder/kamp
200 kamper, 0.50 kamper/s, 1410.7 beslutninger/kamp, 23.8 runder/kamp
225 kamper, 0.49 kamper/s, 1437.1 beslutninger/kamp, 24.3 runder/kamp
250 kamper, 0.47 kamper/s, 1481.7 beslutninger/kamp, 25.1 runder/kamp
FERDIG {"skard":11,"kamper":250,"sekunder":529.21,"kamperPerSek":0.472,"beslutningerPerKamp":1481.7,"raderPerKamp":384.4,"medValgPerKamp":307.6,"runderPerKamp":25.1,"avbruttAndel":0.136,"bytesPerKamp":4399}
