epoke	motstander	n	snitt	se	z	pos	neg	kontroll
mlb-g05-beste	tilfeldig	480	10.2202	1.3625	7.50	260	179	0.0000 OK
mlb-g05-beste	nevro	480	-3.0868	0.4991	-6.19	157	246	0.0000 OK
mlb-g05-beste	adams	480	-3.4257	0.4816	-7.11	96	233	0.0000 OK
mlb-g05-e7	tilfeldig	480	10.1792	1.3526	7.53	256	182	0.0000 OK
mlb-g05-e7	nevro	480	-3.5854	0.4913	-7.30	137	259	0.0000 OK
mlb-g05-e7	adams	480	-3.2180	0.4847	-6.64	103	231	0.0000 OK
