epoke 95: n=85775 (tren 77461) A=+3.572+-8.296 G=+5.8+-8.4 | policy 0.0043 -> 0.0015 | entropi 0.5952 -> 0.5322 | tro 1.2273 -> 1.1770 (treff 35.9 %) | verdi-RMSE 8.485 -> 8.487 | FORKLART PAA HOLDOUT-KAMPER: sum -0.0254, runde -0.0049, hale +0.0075 (i utvalget -0.0005) | KL=0.19716 | FRYS: policy paa batch 0, stamme paa 0 av 608, drift 0.0e+00 | 6s
epoke 95: n=85775 (tren 77461) A=+3.572+-8.296 G=+5.8+-8.4 | policy 0.0043 -> -0.0245 | entropi 0.5952 -> 0.6287 | tro 1.2273 -> 1.1619 (treff 37.3 %) | verdi-RMSE 8.485 -> 8.058 | FORKLART PAA HOLDOUT-KAMPER: sum +0.0598, runde +0.0893, hale +0.0416 (i utvalget +0.0980) | KL=0.01270 | ingen frys | 18s
epoke 95: n=85775 (tren 77461) A=+3.572+-8.296 G=+5.8+-8.4 | policy 0.0043 -> -0.0088 | entropi 0.5952 -> 0.6338 | tro 1.2273 -> 1.1730 (treff 36.2 %) | verdi-RMSE 8.485 -> 8.346 | FORKLART PAA HOLDOUT-KAMPER: sum +0.0121, runde +0.0252, hale +0.0257 (i utvalget +0.0323) | KL=0.01083 | ingen frys | 18s
epoke 95: n=85775 (tren 77461) A=+3.572+-8.296 G=+5.8+-8.4 | policy 0.0043 -> -0.0018 | entropi 0.5952 -> 0.5986 | tro 1.2273 -> 1.1791 (treff 35.6 %) | verdi-RMSE 8.485 -> 8.391 | FORKLART PAA HOLDOUT-KAMPER: sum +0.0067, runde +0.0168, hale +0.0194 (i utvalget +0.0221) | KL=0.00169 | ingen frys | 17s
epoke 94: n=85775 (tren 77461) A=+3.572+-8.296 G=+5.8+-8.4 | policy -0.0101 -> -0.0520 | entropi 0.5952 -> 0.6533 | tro 1.2254 -> 1.1515 (treff 38.3 %) | verdi-RMSE 8.424 -> 7.608 | FORKLART PAA HOLDOUT-KAMPER: sum +0.1332, runde +0.1625, hale +0.0376 (i utvalget +0.1843) | KL=0.01832 | ingen frys | 17s
epoke 94: n=85775 (tren 77461) A=+3.572+-8.296 G=+5.8+-8.4 | policy -0.0101 -> -0.0166 | entropi 0.5952 -> 0.5608 | tro 1.2254 -> 1.1773 (treff 35.9 %) | verdi-RMSE 8.424 -> 8.239 | FORKLART PAA HOLDOUT-KAMPER: sum +0.0480, runde +0.0455, hale +0.0125 (i utvalget +0.0435) | KL=0.06006 | FRYS: policy paa batch 1, stamme paa 4 av 608, drift 0.0e+00 | 5s
epoke 94: n=85775 (tren 77461) A=+3.572+-8.296 G=+5.8+-8.4 | policy -0.0101 -> -0.0576 | entropi 0.5952 -> 0.6459 | tro 1.2254 -> 1.1460 (treff 38.8 %) | verdi-RMSE 8.424 -> 7.198 | FORKLART PAA HOLDOUT-KAMPER: sum +0.1711, runde +0.2169, hale +0.0627 (i utvalget +0.2699) | KL=0.01866 | ingen frys | 28s
epoke 94: n=85775 (tren 77461) A=+3.572+-8.296 G=+5.8+-8.4 | policy -0.0101 -> -0.0757 | entropi 0.5952 -> 0.6524 | tro 1.2254 -> 1.1302 (treff 40.4 %) | verdi-RMSE 8.424 -> 6.678 | FORKLART PAA HOLDOUT-KAMPER: sum +0.1992, runde +0.2477, hale +0.0659 (i utvalget +0.3715) | KL=0.02113 | ingen frys | 33s
epoke 93: n=85775 (tren 77461) A=+3.572+-8.296 G=+5.8+-8.4 | policy 0.0268 -> -0.0602 | entropi 0.6013 -> 0.6698 | tro 1.2265 -> 1.1056 (treff 42.5 %) | verdi-RMSE 8.378 -> 5.025 | FORKLART PAA HOLDOUT-KAMPER: sum +0.1116, runde +0.1529, hale +0.0532 (i utvalget +0.6402) | KL=0.02780 | ingen frys | 57s
epoke 93: n=85775 (tren 77461) A=+3.572+-8.296 G=+5.8+-8.4 | policy 0.0268 -> 0.0251 | entropi 0.6013 -> 0.5763 | tro 1.2265 -> 1.1726 (treff 36.1 %) | verdi-RMSE 8.378 -> 8.218 | FORKLART PAA HOLDOUT-KAMPER: sum +0.0268, runde +0.0511, hale +0.0131 (i utvalget +0.0377) | KL=0.06133 | FRYS: policy paa batch 1, stamme paa 6 av 1824, drift 0.0e+00 | 8s
