epoke	motstander	n	snitt	se	z	pos	neg	kontroll
mlb-beste	tilfeldig	24	-85.5416	7.9936	-10.70	1	23	0.0000 OK
mlb-beste	nevro	24	-79.1112	7.8636	-10.06	0	24	0.0000 OK
mlb-beste	adams	24	-89.6807	6.4981	-13.80	0	24	0.0000 OK
