epoke	motstander	n	snitt	se	z	pos	neg	kontroll
mlb-beste	tilfeldig	480	-59.2146	2.6710	-22.17	91	368	0.0000 OK
mlb-beste	nevro	480	-45.9813	1.9558	-23.51	23	445	0.0000 OK
mlb-beste	adams	480	-90.8778	1.5535	-58.50	7	458	0.0000 OK
