kandidat	motstander	n	snitt	se	z	pos	neg	seier%	avbrutt%	baand0	baand1	kontroll
mlb-beste-e9	tren.vane.grisk	400	-7.0575	0.5168	-13.66	115	250	1.3	0.0	-6.820	-7.295	0.0000 OK
mlb-beste-e9	tren.vane.honnørsulten	400	-4.4550	0.6274	-7.10	129	246	16.0	0.0	-3.790	-5.120	0.0000 OK
mlb-beste-e9	tren.vane.trumfgjerrig	400	2.6400	0.6967	3.79	238	142	54.0	0.0	1.675	3.605	0.0000 OK
mlb-beste-e9	tren.vane.ordentlig	400	-7.0575	0.5442	-12.97	92	276	0.5	0.0	-6.255	-7.860	0.0000 OK
mlb-beste-e9	test.test.feig	400	25.8025	0.4821	53.52	381	8	88.5	12.8	25.695	25.910	0.0000 OK
mlb-beste-e9	test.test.trumfsløser	400	20.2700	1.6196	12.52	273	116	37.8	0.0	19.950	20.590	0.0000 OK
mlb-beste-e9	test.test.middelmådig	400	15.2750	0.5172	29.53	363	28	90.3	0.3	15.720	14.830	0.0000 OK
mlb-beste-e9	test.test.baklengs	400	28.4225	0.2994	94.93	392	2	94.0	6.3	28.255	28.590	0.0000 OK
mlb-beste-e9	epoke0.tilfeldig	400	233.9038	8.4604	27.65	371	19	90.0	0.3	218.143	249.665	0.0000 OK
