# MLB trekkbygger — kostnad per beslutning
# 2026-08-09T16:09:06.180Z  giver=8 målPoeng=30 tro=e1-modell/mlb-tro.bin
# TREKK_LENGDE=1032 MIKRO=273 KONVENSJON=71 regler=17
# kamp	fase	lovlige	ms_total	ms_mikro	ms_konvensjon
0	SPILL	2	0.5208	0.0135	0.0133
0	SPILL	9	0.7663	0.0232	0.3083
0	SPILL	1	0.5477	0.0265	0.0002
0	SPILL	8	0.6063	0.0121	0.0723
0	SPILL	1	0.4749	0.0130	0.0001
0	SPILL	8	0.7593	0.0135	0.2842
0	SPILL	8	0.6552	0.0162	0.0550
0	SPILL	7	0.6174	0.0239	0.0458
0	SPILL	2	0.5671	0.0209	0.0116
0	SPILL	6	0.5426	0.0131	0.0265
0	SPILL	2	0.5267	0.0165	0.0117
0	SPILL	6	0.5187	0.0130	0.0113
0	SPILL	3	0.5595	0.0163	0.0128
0	SPILL	2	0.5351	0.0139	0.0122
0	SPILL	1	0.7104	0.0138	0.0002
0	SPILL	5	0.5235	0.0143	0.0098
0	SPILL	5	0.5258	0.0133	0.0180
0	SPILL	4	0.5846	0.0143	0.0224
0	SPILL	5	1.1289	0.0500	0.2501
0	SPILL	4	0.6225	0.0142	0.0316
0	SPILL	4	0.7166	0.0147	0.0214
0	SPILL	4	0.6398	0.0139	0.1087
0	SPILL	4	0.5515	0.0137	0.0210
0	SPILL	3	0.5487	0.0134	0.0203
0	SPILL	3	0.5652	0.0137	0.0154
0	SPILL	3	0.5908	0.0137	0.0948
0	SPILL	3	0.5688	0.0139	0.0156
0	SPILL	2	0.6136	0.0142	0.0081
0	SPILL	2	0.5556	0.0146	0.0101
0	SPILL	2	0.5859	0.0230	0.0447
0	SPILL	2	0.5577	0.0148	0.0115
0	SPILL	1	0.5510	0.0161	0.0002
0	SPILL	1	0.5577	0.0155	0.0002
0	SPILL	1	0.5468	0.0163	0.0001
0	SPILL	1	0.5601	0.0164	0.0002
0	BUD	0	0.4627	0.0113	0.0002
0	BUD	0	0.4901	0.0107	0.0002
0	BUD	0	0.3868	0.0103	0.0002
0	BUD	0	0.3772	0.0109	0.0002
0	BUD	0	0.3706	0.0098	0.0001
0	VRAK	0	0.3845	0.0128	0.0001
0	VELG	0	0.4032	0.0103	0.0001
0	SPILL	7	0.4526	0.0117	0.0453
0	SPILL	3	0.4380	0.0101	0.0374
0	SPILL	12	0.7719	0.0136	0.1159
0	SPILL	1	0.4760	0.0118	0.0001
0	SPILL	11	0.5167	0.0124	0.0316
0	SPILL	6	0.6332	0.0272	0.1492
0	SPILL	2	0.5146	0.0183	0.0140
0	SPILL	11	0.5576	0.0112	0.0866
0	SPILL	10	0.5632	0.0110	0.0621
0	SPILL	1	0.4724	0.0111	0.0002
0	SPILL	10	0.5554	0.0109	0.0687
0	SPILL	1	0.4825	0.0115	0.0002
0	SPILL	9	0.4850	0.0121	0.0165
0	SPILL	3	0.5915	0.0110	0.0742
0	SPILL	4	0.5367	0.0120	0.0156
0	SPILL	2	0.5867	0.0107	0.0551
0	SPILL	8	0.5030	0.0113	0.0140
0	SPILL	4	0.5841	0.0108	0.1333
0	SPILL	3	0.5519	0.0117	0.0127
0	SPILL	2	0.8741	0.0560	0.0615
0	SPILL	7	0.5294	0.0117	0.0127
0	SPILL	7	0.7239	0.0130	0.1434
0	SPILL	3	0.5238	0.0112	0.0154
0	SPILL	3	0.5050	0.0107	0.0158
0	SPILL	6	0.5098	0.0110	0.0410
0	SPILL	6	0.5116	0.0187	0.0315
0	SPILL	6	0.7259	0.0197	0.0396
0	SPILL	6	0.6439	0.0117	0.1519
