epoke	motstander	n	snitt	se	z	pos	neg	kontroll
tilfeldig7310002	tilfeldig	96	-5.4791	4.3571	-1.26	47	46	0.0000 OK
tilfeldig7310002	nevro	96	-22.4341	1.6892	-13.28	3	93	0.0000 OK
tilfeldig7310002	adams	96	-30.2917	1.8622	-16.27	2	91	0.0000 OK
