# MLB trekkbygger — kostnad per beslutning
# 2026-08-09T16:09:04.140Z  giver=20 målPoeng=30 tro=AV
# TREKK_LENGDE=1032 MIKRO=273 KONVENSJON=71 regler=17
# kamp	fase	lovlige	ms_total	ms_mikro	ms_konvensjon
0	SPILL	2	0.1259	0.0112	0.0176
0	SPILL	9	0.4808	0.0237	0.3196
0	SPILL	1	0.0629	0.0113	0.0001
0	SPILL	8	0.1262	0.0121	0.0626
0	SPILL	1	0.0541	0.0109	0.0002
0	SPILL	8	0.3448	0.0132	0.2880
0	SPILL	8	0.1264	0.0127	0.0626
0	SPILL	7	0.1331	0.0215	0.0538
0	SPILL	2	0.0863	0.0131	0.0108
0	SPILL	6	0.0956	0.0112	0.0244
0	SPILL	2	0.0767	0.0119	0.0143
0	SPILL	6	0.0612	0.0110	0.0113
0	SPILL	3	0.0830	0.0104	0.0126
0	SPILL	2	0.0681	0.0181	0.0114
0	SPILL	1	0.0687	0.0133	0.0002
0	SPILL	5	0.0692	0.0121	0.0114
0	SPILL	5	0.0770	0.0114	0.0184
0	SPILL	4	0.1584	0.0120	0.0215
0	SPILL	5	0.4811	0.0233	0.1337
0	SPILL	4	0.0920	0.0122	0.0317
0	SPILL	4	0.0796	0.0119	0.0212
0	SPILL	4	0.1656	0.0200	0.1088
0	SPILL	4	0.0763	0.0120	0.0206
0	SPILL	3	0.0756	0.0123	0.0207
0	SPILL	3	0.0711	0.0125	0.0152
0	SPILL	3	0.1262	0.0119	0.0886
0	SPILL	3	0.0688	0.0128	0.0160
0	SPILL	2	0.0589	0.0113	0.0080
0	SPILL	2	0.0822	0.0114	0.0112
0	SPILL	2	0.1336	0.0124	0.0448
0	SPILL	2	0.0644	0.0119	0.0111
0	SPILL	1	0.0610	0.0119	0.0002
0	SPILL	1	0.0567	0.0126	0.0002
0	SPILL	1	0.0674	0.0138	0.0002
0	SPILL	1	0.0543	0.0136	0.0002
0	BUD	0	0.0478	0.0072	0.0002
0	BUD	0	0.0453	0.0069	0.0002
0	BUD	0	0.0514	0.0078	0.0001
0	BUD	0	0.0441	0.0069	0.0001
0	BUD	0	0.0453	0.0074	0.0001
0	VRAK	0	0.0515	0.0078	0.0001
0	VELG	0	0.0594	0.0076	0.0001
0	SPILL	7	0.1064	0.0079	0.0460
0	SPILL	3	0.0703	0.0079	0.0342
0	SPILL	12	0.3337	0.0117	0.1163
0	SPILL	1	0.0528	0.0085	0.0002
0	SPILL	11	0.0941	0.0091	0.0321
0	SPILL	6	0.2230	0.0184	0.1466
0	SPILL	2	0.0629	0.0089	0.0109
0	SPILL	11	0.1425	0.0093	0.0919
0	SPILL	10	0.1251	0.0087	0.0668
0	SPILL	1	0.0508	0.0089	0.0002
0	SPILL	10	0.1324	0.0089	0.0870
0	SPILL	1	0.0541	0.0083	0.0002
0	SPILL	9	0.0749	0.0088	0.0156
0	SPILL	3	0.1688	0.0098	0.0730
0	SPILL	4	0.0670	0.0173	0.0153
0	SPILL	2	0.1086	0.0082	0.0628
0	SPILL	8	0.0584	0.0087	0.0137
0	SPILL	4	0.1547	0.0083	0.1253
0	SPILL	3	0.0771	0.0097	0.0122
0	SPILL	2	0.1330	0.0162	0.0519
0	SPILL	7	0.0595	0.0087	0.0119
0	SPILL	7	0.2178	0.0170	0.1621
0	SPILL	3	0.0676	0.0096	0.0152
0	SPILL	3	0.0671	0.0090	0.0155
0	SPILL	6	0.0928	0.0100	0.0389
0	SPILL	6	0.0854	0.0091	0.0309
0	SPILL	6	0.0874	0.0122	0.0340
0	SPILL	6	0.2006	0.0102	0.1481
0	SPILL	5	0.0744	0.0092	0.0300
